order_day	customer	product_group	ops	units
01-JAN-13	0984028	B	102.479	1
01-JAN-13	1357960	B	22.906	1
01-JAN-13	1534573	A	336.3	1
01-JAN-13	2185129	B	117.009	1
01-JAN-13	2804371	C	49.57	1
01-JAN-13	3266720	B	111.026	1
01-JAN-13	3375996	B	22.906	1
01-JAN-13	4789682	A	699.1	1
01-JAN-13	4798607	B	68.206	2
02-JAN-13	1097996	A	699.1	1
02-JAN-13	2753320	B	67.35	1
02-JAN-13	3654541	B	42.564	1
02-JAN-13	4246243	B	85.385	1
02-JAN-13	4092257	B	236.581	1
02-JAN-13	4747675	A	129.2	1
03-JAN-13	0918272	B	68.291	1
03-JAN-13	1041437	B	39.573	1
03-JAN-13	2497317	C	233.33	2
04-JAN-13	0918153	A	699.1	1
04-JAN-13	1093865	B	34.103	1
04-JAN-13	2619938	B	145.214	1
04-JAN-13	4829139	B	136.667	1
04-JAN-13	4865621	A	336.3	1
04-JAN-13	4880343	B	252.821	2
05-JAN-13	1066478	B	145.214	1
05-JAN-13	2332400	C	83.76	1
05-JAN-13	2642378	B	53.8	1
05-JAN-13	2654176	B	162.308	1
05-JAN-13	2668949	A	699.1	1
05-JAN-13	2675647	A	445.1	1
05-JAN-13	4195532	A	168.1	1
05-JAN-13	4482611	B	153.761	1
05-JAN-13	4537028	A	699.1	1
05-JAN-13	4904993	B	37.436	1
06-JAN-13	1961324	B	16.068	1
06-JAN-13	2818787	B	84.444	1
07-JAN-13	0709563	C	101.11	1
07-JAN-13	1174343	B	252.735	3
07-JAN-13	1517233	B	75.897	1
07-JAN-13	4946218	B	29.744	1
07-JAN-13	4966023	A	699.1	1
08-JAN-13	0589475	B	153.675	1
08-JAN-13	1017450	C	117.95	1
08-JAN-13	1352775	B	80.171	1
08-JAN-13	1916359	A	1221.2	2
08-JAN-13	2171886	A	699.1	1
08-JAN-13	2210374	B	110.94	1
08-JAN-13	2289135	B	89.658	1
08-JAN-13	3338817	A	5119.7	1
08-JAN-13	3956087	B	196.496	1
08-JAN-13	4971157	B	54.53	1
01-JAN-13	0067320	B	39.231	1
01-JAN-13	0185504	B	666.239	3
01-JAN-13	1411493	A	15920.4	1
01-JAN-13	2429572	B	42.65	1
01-JAN-13	3044938	B	102.479	1
01-JAN-13	3470584	A	699.1	1
01-JAN-13	4710530	A	1398.2	2
02-JAN-13	0629051	C	297.0	3
02-JAN-13	2734671	B	136.667	1
02-JAN-13	3067378	C	776.06	2
02-JAN-13	3339412	B	46.8	1
02-JAN-13	3860088	B	47.863	1
02-JAN-13	4707487	B	64.103	1
03-JAN-13	0826982	C	938.46	6
03-JAN-13	1764141	B	288.719	3
03-JAN-13	2075853	C	233.0	2
04-JAN-13	1116679	B	12.9	1
04-JAN-13	2930103	B	145.214	1
04-JAN-13	3592695	A	876.1	1
04-JAN-13	3656904	B	90.427	1
04-JAN-13	4365413	B	119.573	1
04-JAN-13	3836645	C	220.51	1
04-JAN-13	4874087	A	3345.1	2
05-JAN-13	1843106	C	47.86	2
05-JAN-13	2681852	B	102.479	1
05-JAN-13	3266720	B	128.034	1
05-JAN-13	4908580	B	42.65	1
06-JAN-13	2320670	B	42.65	1
06-JAN-13	2322965	A	4300.9	1
06-JAN-13	2332740	A	699.1	1
06-JAN-13	2628608	B	119.402	2
06-JAN-13	2756363	A	699.1	1
06-JAN-13	2779721	B	110.085	1
06-JAN-13	3235066	B	98.205	1
07-JAN-13	0922199	A	2646.0	1
07-JAN-13	3117324	B	28.889	1
08-JAN-13	0250614	B	42.65	1
08-JAN-13	1180973	B	42.65	1
08-JAN-13	1695206	A	699.1	1
08-JAN-13	1966441	B	93.932	1
08-JAN-13	2931667	B	58.889	1
08-JAN-13	4281654	B	186.239	1
08-JAN-13	4978688	A	699.1	1
09-JAN-13	0075463	A	608.0	1
09-JAN-13	0687327	C	288.89	1
09-JAN-13	1182639	A	1027.4	1
09-JAN-13	2397935	B	34.103	1
01-JAN-13	0701743	A	699.1	1
01-JAN-13	4257497	A	88.5	1
01-JAN-13	4549217	B	45.214	1
01-JAN-13	4614667	B	51.197	1
02-JAN-13	1039261	A	699.1	1
02-JAN-13	4113898	B	119.573	1
02-JAN-13	4806801	B	16.068	1
02-JAN-13	4811476	B	75.043	1
03-JAN-13	0402594	B	145.214	1
03-JAN-13	0660620	A	256.6	1
03-JAN-13	4830278	B	102.479	1
03-JAN-13	4843827	A	699.1	1
04-JAN-13	0182427	A	699.1	1
04-JAN-13	2854011	C	284.0	2
04-JAN-13	3591964	B	28.034	1
04-JAN-13	4070837	C	73.16	1
04-JAN-13	4651251	A	168.1	1
04-JAN-13	4870704	B	391.538	1
05-JAN-13	0700213	B	33.333	1
05-JAN-13	2710905	B	24.9	1
05-JAN-13	3121217	B	85.3	2
05-JAN-13	3198261	B	81.111	1
05-JAN-13	4050573	A	442.5	1
06-JAN-13	0947087	C	38.46	1
06-JAN-13	1373889	B	93.846	1
06-JAN-13	1788213	A	121.2	1
06-JAN-13	1924927	B	213.59	1
06-JAN-13	2768025	C	67.95	1
06-JAN-13	3311039	B	162.308	1
06-JAN-13	3933936	A	345.1	1
06-JAN-13	4431526	B	281.796	3
07-JAN-13	0172720	C	263.95	3
07-JAN-13	2161550	A	168.1	1
07-JAN-13	2648719	A	699.1	1
07-JAN-13	3182128	A	221.2	1
07-JAN-13	3940566	B	401.624	1
07-JAN-13	2966704	A	699.1	1
07-JAN-13	4942444	B	24.615	1
07-JAN-13	4958900	B	152.735	2
07-JAN-13	4961892	B	83.675	1
08-JAN-13	3878346	B	89.658	1
01-JAN-13	0072182	B	76.838	1
01-JAN-13	0670956	A	265.5	1
01-JAN-13	1443793	B	67.53	1
01-JAN-13	2011525	B	64.103	1
01-JAN-13	2712690	A	2646.0	1
01-JAN-13	3399949	B	34.103	1
01-JAN-13	3826649	A	699.1	1
01-JAN-13	4286414	B	34.103	1
01-JAN-13	3253919	B	93.663	2
01-JAN-13	4473550	A	77.9	1
01-JAN-13	4782151	B	59.744	1
02-JAN-13	0207111	B	34.103	1
02-JAN-13	3747395	B	119.573	1
02-JAN-13	4008464	B	162.308	1
02-JAN-13	3188554	C	164.88	3
02-JAN-13	4640813	B	298.975	2
03-JAN-13	0395386	B	90.427	1
03-JAN-13	1695257	A	132.7	1
03-JAN-13	1792922	B	75.897	1
03-JAN-13	1917192	A	876.1	1
03-JAN-13	2930851	B	34.103	1
03-JAN-13	4832233	B	85.385	1
04-JAN-13	1535423	A	699.1	1
04-JAN-13	1828316	A	699.1	1
04-JAN-13	2591956	B	39.231	1
04-JAN-13	2857666	B	34.103	1
04-JAN-13	3012247	B	85.385	1
04-JAN-13	4747879	B	45.8	1
04-JAN-13	4868460	A	193.8	1
05-JAN-13	2833084	B	25.8	1
05-JAN-13	2846429	B	19.573	1
05-JAN-13	4297991	A	2646.0	1
06-JAN-13	0886108	C	38.46	1
06-JAN-13	2310334	C	590.0	2
06-JAN-13	2357543	B	34.103	1
06-JAN-13	3084514	A	699.1	1
06-JAN-13	4908716	B	170.855	1
06-JAN-13	4912609	B	29.744	1
06-JAN-13	4932839	B	401.624	1
07-JAN-13	0535058	A	345.1	1
07-JAN-13	1253869	B	94.274	1
07-JAN-13	2803317	C	230.7	15
07-JAN-13	3301944	A	699.1	1
07-JAN-13	3536561	B	45.128	1
07-JAN-13	3352842	B	93.932	1
08-JAN-13	1116781	B	67.35	1
08-JAN-13	1921204	A	699.1	1
08-JAN-13	2661707	A	699.1	1
08-JAN-13	3755470	B	107.692	1
08-JAN-13	4287383	A	203.5	1
08-JAN-13	4984842	B	82.821	1
09-JAN-13	1883515	B	126.496	1
09-JAN-13	3008575	B	75.897	1
09-JAN-13	4342616	B	107.692	1
09-JAN-13	4248130	B	128.12	1
10-JAN-13	1189218	C	220.51	1
10-JAN-13	2652085	B	96.8	1
10-JAN-13	3101684	B	75.897	1
10-JAN-13	5024911	A	168.1	1
10-JAN-13	5050326	C	929.91	1
10-JAN-13	5052111	B	68.291	1
11-JAN-13	0731918	C	420.0	12
11-JAN-13	1058318	B	82.906	1
11-JAN-13	1493501	B	128.12	1
11-JAN-13	2789649	B	398.205	1
11-JAN-13	2804371	C	58.12	1
11-JAN-13	3418802	B	75.897	1
11-JAN-13	3811230	A	699.1	1
11-JAN-13	3997091	A	699.1	1
11-JAN-13	5019352	A	699.1	1
11-JAN-13	5051482	B	89.658	1
11-JAN-13	5073990	B	85.385	1
12-JAN-13	0211684	B	23.761	1
12-JAN-13	0961843	A	177.0	1
12-JAN-13	3510347	B	143.248	2
12-JAN-13	3659046	B	51.282	1
12-JAN-13	5081674	B	133.248	1
13-JAN-13	0964529	B	99.829	1
13-JAN-13	0977704	B	24.615	1
13-JAN-13	1152566	B	100.684	1
13-JAN-13	1275867	B	37.521	1
13-JAN-13	1435888	B	89.658	1
13-JAN-13	2374237	B	68.291	1
13-JAN-13	3369944	A	699.1	1
13-JAN-13	3745610	B	30.598	1
14-JAN-13	0770797	C	50.34	1
14-JAN-13	2554743	B	160.598	1
14-JAN-13	3556536	A	699.1	1
14-JAN-13	3949117	A	699.1	1
14-JAN-13	4672059	C	588.0	10
15-JAN-13	0650029	A	465.5	2
15-JAN-13	0977653	B	45.983	1
15-JAN-13	1934141	B	128.12	1
15-JAN-13	2217956	A	699.1	1
15-JAN-13	2567425	A	168.1	1
15-JAN-13	2647546	B	124.786	1
15-JAN-13	3529574	B	62.308	1
15-JAN-13	4172429	B	59.744	1
09-JAN-13	3239418	A	699.1	1
09-JAN-13	3622496	A	699.1	1
09-JAN-13	5024486	B	119.573	1
10-JAN-13	0440198	A	699.1	1
10-JAN-13	1554497	C	200.86	2
10-JAN-13	2532405	A	699.1	1
10-JAN-13	2990929	B	42.564	1
10-JAN-13	5022548	B	136.667	1
10-JAN-13	5046433	B	33.248	1
10-JAN-13	5053420	A	699.1	1
11-JAN-13	3136381	A	699.1	1
11-JAN-13	3423171	B	73.846	1
11-JAN-13	5080246	B	111.026	1
12-JAN-13	0033881	B	136.667	1
12-JAN-13	2591480	B	225.385	2
12-JAN-13	2780741	C	121.21	2
12-JAN-13	3108161	B	34.103	1
12-JAN-13	3654983	A	699.1	1
12-JAN-13	3311447	A	168.1	1
12-JAN-13	5104998	B	102.479	1
13-JAN-13	0335869	B	33.333	1
13-JAN-13	0717689	C	484.44	4
13-JAN-13	1717561	A	1489.1	2
13-JAN-13	2737085	B	89.658	1
13-JAN-13	3635450	A	391.2	1
13-JAN-13	3697466	B	25.556	1
13-JAN-13	5127455	B	89.658	1
14-JAN-13	0927401	B	216.752	2
14-JAN-13	1492311	B	112.41	1
14-JAN-13	2451536	B	37.521	1
14-JAN-13	3032494	B	84.444	1
14-JAN-13	4685353	B	93.932	1
14-JAN-13	3790915	C	108.0	1
14-JAN-13	5158480	B	110.085	1
14-JAN-13	5162373	B	93.932	1
15-JAN-13	0175525	A	876.1	1
15-JAN-13	0384251	A	629.2	1
15-JAN-13	2820028	A	699.1	1
15-JAN-13	3496339	B	37.436	1
15-JAN-13	3591029	A	699.1	1
15-JAN-13	4531010	A	699.1	1
15-JAN-13	4586787	B	305.042	2
15-JAN-13	4685353	B	128.12	1
15-JAN-13	4006560	A	699.1	1
15-JAN-13	5172998	B	239.231	1
15-JAN-13	5189301	B	93.847	2
09-JAN-13	2640355	B	69.9	1
